,ds,yhat,yhat_lower,yhat_upper,total_sales
461,2021-01-10,12657.013388062653,7059.92501070908,18914.22453269698,12866.64
462,2021-01-11,11746.80665768414,6317.649140837706,17514.791652044318,11704.21
463,2021-01-12,11104.496876308436,5542.240977999039,17336.655071501515,15862.97
464,2021-01-13,11236.466286610726,5007.611796776998,17241.34431341554,9518.52
465,2021-01-14,12438.349562154255,6567.114112612563,17876.12680566166,11393.27
466,2021-01-15,14586.898011175686,8783.880507819025,20080.404750691265,17426.12
467,2021-01-16,16800.012925623738,11020.003322791532,22595.55500118689,12407.47
468,2021-01-17,12835.85929806623,7212.808437416415,18306.6268000189,12977.91
469,2021-01-18,12394.439381923228,6448.017501105301,17733.67250360577,12874.02
470,2021-01-19,12175.017649635936,6331.136958188592,18359.822329263505,19101.96
471,2021-01-20,12676.764105977563,6894.362570859954,18643.869602278985,11574.39
472,2021-01-21,14189.4712250735,8411.600387964823,20191.3590348738,15609.57
473,2021-01-22,16585.52655812019,11045.971088806158,22196.02458106264,19252.19
474,2021-01-23,18980.01166563164,13636.400481009896,24629.369822747933,16073.15
475,2021-01-24,15129.843945089406,9483.811574524112,20982.534948613844,19118.65
476,2021-01-25,14735.339603428629,9473.057919862054,20469.36261689952,20281.08
477,2021-01-26,14497.590366842544,8456.688473732409,19838.33912748297,19616.19
478,2021-01-27,14919.02287962193,9194.39708599562,20678.17353343847,13212.78
479,2021-01-28,16293.998941161692,10563.744592905496,22024.125679635446,13380.93
480,2021-01-29,18500.642303764176,13125.668632883924,24042.373573792334,15872.37
481,2021-01-30,20660.767042505027,14778.778542840078,26162.891728505707,10551.55
482,2021-01-31,16538.828979337104,10773.894127759348,22275.497550770862,13322.6
483,2021-02-01,15843.28373305004,9680.19213320169,20777.58384198036,18475.39
484,2021-02-02,15283.749570855513,9516.071762906706,20812.9638570125,19441.81
485,2021-02-03,15371.34970171808,9952.16162786218,20917.018085166867,17687.0
486,2021-02-04,16409.09779936102,10935.002911380288,21991.91788295776,16410.37
487,2021-02-05,18283.517915266344,12740.90356051587,23806.856763395182,17378.91
488,2021-02-06,20124.37888746059,14196.114596716963,26005.877214084845,15182.07
489,2021-02-07,15703.469347469892,9808.773777085047,21358.200863108614,21886.91
490,2021-02-08,14735.800929098416,8700.902956855449,20358.50660651481,25785.28
491,2021-02-09,13936.641202118812,7884.021328154956,19418.144261253517,19902.64
492,2021-02-10,13821.7535585869,8344.649981839422,19157.82911411319,8909.68
